id,serial,quality,hardiness,fortitude,dexterity,endurance,intellect,cleverness,dependability,courage,fierceness,power,armor,sa1,sa2,ranged,used,physique,prowess,mental,psychology,aggression,kinetic.special,kinetic.effective,kinetic,energy.special,energy.effective,energy,blast.special,blast.effective,blast,heat.special,heat.effective,heat,cold.special,cold.effective,cold,electricity.special,electricity.effective,electricity,acid.special,acid.effective,acid,stun.special,stun.effective,stun
73fa6cb8-61de-415c-9902-97f84c7cce9b,io95cn7j,4,512,445,108,277,17,17,758,512,100,364,0,stunning,intimidation,false,bpfsb3i5,6e8f6207-04c7-4261-bbd3-541bb0e4ff7a,45e5d9f8-4202-4040-8110-ea56a5513ded,d38eba62-e8aa-441e-9181-2e9c8373329c,a0a05094-66dd-46b2-a124-d13036039010,159b7ad9-a8f1-41ee-9d41-063da97bfcb4,51,0,51,-6,0,-6,-20,0,-20,-3,0,-3,-1,0,-1,-13,0,-13,-19,0,-19,-99,0,-99
60cf15a7-14a7-41b5-a371-707a461551e0,56okbn5e,5,203,43,67,337,16,12,695,334,25,129,0,dizzy,poison_spray,true,bqk8jnd8,a36951d4-ea1d-4a9c-abb6-b7ff6411995a,74c54ea5-5ae4-4eaf-a69e-73f12970e0e5,ab1d505e-3e19-4f30-9b22-4c85d98d1a44,d067b314-23c5-4840-9cda-8252a44a2e7a,77ab6ffc-5aeb-435a-b617-1452adae103d,0,0,0,-64,0,-64,0,0,0,-64,0,-64,-64,0,-64,-64,0,-64,-64,0,-64,-29,0,-29
4f4fbfaa-6635-4e0b-84a5-1bc2839f60e5,r87msnb4,3,105,406,170,335,272,251,713,507,187,270,0,crippling,dizzy,false,branrnji,24cf0eda-6a70-43f0-b74f-fe5e8d3094aa,8961a6f6-3f1f-4cc8-949e-56fb287d939f,8f043881-0c3a-4ae7-bb09-617fc1700dea,aa787a7a-c928-4e30-8e19-bb641ee74a95,dbddf73d-b420-42ee-830f-9b7005393eba,41,0,41,-1,0,-1,-29,0,-29,-10,0,-10,-29,0,-29,-54,0,-54,-27,0,-27,-59,0,-59
ef3d8f7f-5682-444f-bacd-471145a20765,dldko43r,3,510,442,376,309,88,74,607,518,25,271,0,stunning,intimidation,true,bu1pu47d,be79d2c1-b21b-4923-a99e-037b97a5c493,3a0b9f05-912b-41b9-a650-e4268646194d,ccc28b4b-8dfe-451e-aaaf-ba0d0a403a0a,4b4dc92c-3f23-4e69-943d-46b483697425,169d8a91-b816-498b-a6ad-e5f782f1f3d3,60,0,60,-33,0,-33,-58,0,-58,-58,0,-58,-58,0,-58,-99,0,-99,-58,0,-58,-99,0,-99
235c1e81-0d9d-45d7-94af-fd4313a0cc79,mlkg2v8u,4,653,529,521,336,350,242,650,499,330,467,1,dizzy,blinding,false,bvda7vsi,cc1c0076-dbdc-403c-99be-7b5cd49f25f1,8c2f5be9-f03f-418e-8feb-b0a2e93e3547,cb17095c-aa32-4d2d-b3c4-0228a03dc49d,a700c3d7-9ba4-4324-a04d-7d73de0cc3e5,fbf21431-220f-475d-bb91-c8cfa588051d,53,0,53,6,0,6,42,0,42,19,0,19,48,0,48,-19,0,-19,20,0,20,0,0,0
8d5dcf08-53b0-4a37-8550-49647bdaf8de,4f99jnbj,4,517,410,155,334,169,170,714,512,291,461,0,stunning,intimidation,false,c02pdnrm,ff3fb512-f5da-4bd5-a6f1-90c3b17c8940,1067e99f-a73c-42cc-86ca-7c7bee51e7a5,5b084f18-ed2a-46d5-bbab-2d319e936dc5,237acb89-d0d0-4697-abcf-3c4103425d5c,bab65c26-03fd-4bc4-82de-f6438050c18c,40,0,40,-6,0,-6,-69,0,-69,-10,0,-10,-5,0,-5,-30,0,-30,-66,0,-66,-99,0,-99
24bc4809-eb5c-4473-b3b0-1d096938d001,gjofca6o,4,290,99,225,336,115,1,789,515,75,29,0,"",intimidation,false,c0cnraai,fb45a312-7599-4180-ae3e-b7e09e76b2c0,0aae5701-b506-4c06-8426-c024058bed2a,30d7e01e-4e86-48ad-bfc9-b5f646de57a1,5f5b5fbf-2911-419b-8688-9854ba094f6b,0e5c0222-2d50-4a1c-9f3e-62d72956223d,28,0,28,5,0,5,0,5,5,-99,0,-99,-68,0,-68,-68,0,-68,-5,0,-5,-99,0,-99
16b7318b-390e-4aaa-a5d2-3f75ead19039,rhsa5i07,4,584,491,121,281,14,10,758,512,102,265,0,stunning,intimidation,true,c2h52ioh,4cad420a-7da5-49c2-a095-080d736ed596,f22c6173-e2f0-4639-ab52-152bb2e449a3,e9f080f9-b6f8-462d-a779-ca48c3b0c907,c3646a75-a1e2-40d9-bd60-d8dc6e927398,028b357f-4960-4f85-92c9-fc7ce6d537b7,56,0,56,-42,0,-42,-18,0,-18,-2,0,-2,-1,0,-1,-48,0,-48,-17,0,-17,-99,0,-99
32594187-fefd-4b99-9c81-849e3ac8e1e6,g2nofbpk,4,408,116,296,386,120,71,773,513,48,97,0,"",intimidation,false,c4l02bpl,34381628-712a-4c37-81dd-2fe64b881b64,095304ec-3756-4fa7-9f03-db93de6c9d54,de17ee88-ad21-4f83-b217-30e10ea82645,35eaa561-9ec8-49b3-b580-b287c2b55b9a,feb8cacf-b029-4989-b9fe-9f70ca29a476,28,0,28,16,0,16,-40,0,-40,-60,0,-60,-14,0,-14,-30,0,-30,-8,0,-8,-99,0,-99
4d07c140-881b-4341-8522-d719ffcf6de3,ku91ska3,4,134,41,113,312,92,70,1000,349,25,114,0,stunning,crippling,true,c7lgvk6t,eacf68d2-eeaf-4a95-a074-e805328b9ab7,049067b0-1925-4dea-b280-6c267a7bed02,9d4a940b-bb71-4fe0-ba5f-d619f9973175,1adcb9cf-33ae-4369-8bc7-4981afa85b88,bbfa5468-dd1c-45e5-8a56-9ca163159b49,26,0,26,33,0,33,0,0,0,-33,0,-33,-33,0,-33,-85,0,-85,-78,0,-78,-99,0,-99
